Street,City,State,State_name,Zip_code,LON,LAT
COMMERCE ST,SPRINGFIELD,VA,Virginia,22150,-77.1881,38.7831
VERSAR CTR,SPRINGFIELD,VA,Virginia,22151,-77.1813,38.7944
MANCHESTER BLVD,ALEXANDRIA,VA,Virginia,22310,-77.1532,38.7645
RICHMOND HWY,ALEXANDRIA,VA,Virginia,22309,-77.1208,38.7243
RTE 1,ALEXANDRIA,VA,Virginia,22309,-77.1202,38.7232
RICHMOND HWY,ALEXANDRIA,VA,Virginia,22306,-77.079,38.7798
RICHMOND HWY,ALEXANDRIA,VA,Virginia,22306,-77.0827,38.7517
DUKE ST,ALEXANDRIA,VA,Virginia,22304,-77.1212,38.8126
COLUMBIA PIKE,ANNANDALE,VA,Virginia,22003,-77.1913,38.8327
FAIRVIEW PARK DR,FALLS CHURCH,VA,Virginia,22042,-77.2155,38.8676
LEE HWY,FALLS CHURCH,VA,Virginia,22042,-77.2092,38.8755
LITTLE RIVER TPKE,ALEXANDRIA,VA,Virginia,22312,-77.1421,38.818
SEVEN CORNERS CTR,FALLS CHURCH,VA,Virginia,22044,-77.1513,38.8685
LEESBURG PIKE,BAILEYS CROSSRDS,VA,Virginia,22041,-77.1317,38.8515
OLD DOMINION DR,MC LEAN,VA,Virginia,22101,-77.1528,38.9207
W GLEBE RD,ALEXANDRIA,VA,Virginia,22305,-77.0764,38.8431
COLUMBIA PIKE,ARLINGTON,VA,Virginia,22204,-77.1092,38.8569
LEE HWY,ARLINGTON,VA,Virginia,22207,-77.1017,38.8967
WISCONSIN AVE NW,WASHINGTON,DC,District Of Columbia,20007,-77.0725,38.9207
U ST NW,WASHINGTON,DC,District Of Columbia,20009,-77.0305,38.9168
COLUMBIA RD NW,WASHINGTON,DC,District Of Columbia,20009,-77.0419,38.9236
E SWAN CREEK RD,FORT WASHINGTON,MD,Maryland,20744,-76.9919,38.7252
OXON HILL RD,OXON HILL,MD,Maryland,20745,-76.9889,38.8039
OXTAIL RD,OXON HILL,MD,Maryland,20745,-76.9909,38.8073
TEMPLE HILL RD,TEMPLE HILLS,MD,Maryland,20748,-76.9274,38.7917
BRANCH AVE,CLINTON,MD,Maryland,20735,-76.8877,38.7697
